Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,178,42,0,220
15,Labour,154,65,0,219
6,Crossbench,142,38,0,180
17,Liberal Democrat,68,31,0,99
3,Bishops,26,0,0,26
49,Non-affiliated,16,4,0,20
35,UK Independence Party,3,0,0,3
7,Democratic Unionist Party,2,0,0,2
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
10,Independent Labour,1,0,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
51,Liberal Democrat Independent,1,0,0,1
