Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,183,47,0,230
15,Labour,150,66,0,216
6,Crossbench,138,38,0,176
17,Liberal Democrat,71,34,0,105
3,Bishops,24,0,0,24
49,Non-affiliated,16,4,0,20
35,UK Independence Party,3,0,0,3
7,Democratic Unionist Party,2,0,0,2
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
10,Independent Labour,1,0,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
