Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,192,58,0,250
15,Labour,145,67,0,212
6,Crossbench,141,38,0,179
17,Liberal Democrat,72,40,0,112
3,Bishops,24,1,0,25
49,Non-affiliated,21,4,0,25
7,Democratic Unionist Party,3,1,0,4
35,UK Independence Party,3,0,0,3
10,Independent Labour,2,0,0,2
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
