Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,184,48,0,232
15,Labour,152,66,0,218
6,Crossbench,140,38,0,178
17,Liberal Democrat,70,35,0,105
3,Bishops,26,0,0,26
49,Non-affiliated,16,4,0,20
35,UK Independence Party,3,0,0,3
7,Democratic Unionist Party,2,0,0,2
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
10,Independent Labour,1,0,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
