Id,Name,MaleCount,FemaleCount,NonBinaryCount,TotalCount
4,Conservative,180,48,0,228
15,Labour,147,66,0,213
6,Crossbench,141,37,0,178
17,Liberal Democrat,65,35,0,100
3,Bishops,26,0,0,26
49,Non-affiliated,22,4,0,26
7,Democratic Unionist Party,3,1,0,4
35,UK Independence Party,3,0,0,3
22,Plaid Cymru,2,0,0,2
38,Ulster Unionist Party,2,0,0,2
44,Green Party,0,1,0,1
10,Independent Labour,1,0,0,1
50,Independent Liberal Democrat,0,1,0,1
53,Independent Social Democrat,1,0,0,1
52,Independent Ulster Unionist,1,0,0,1
